text,canonical_form_1,category_1,severity_rating,severity_description
n1ggers,nigger,racial / ethnic slurs,3,severe
n1gguh,nigger,racial / ethnic slurs,2.8,severe
n3gro,negro,racial / ethnic slurs,2.4,strong
negga,nigger,racial / ethnic slurs,2.8,severe
neggar,nigger,racial / ethnic slurs,2.8,severe
negr0,negro,racial / ethnic slurs,2.8,severe
negro,negro,racial / ethnic slurs,2,strong
negroes,negro,racial / ethnic slurs,2.6,severe
negroid,negro,racial / ethnic slurs,2.6,severe
niccer,nigger,racial / ethnic slurs,2.6,severe
nicka,nigger,racial / ethnic slurs,2.6,severe
nickas,nigger,racial / ethnic slurs,2.8,severe
nicker,nigger,racial / ethnic slurs,3,severe
nickk3r,nigger,racial / ethnic slurs,3,severe
nickker,nigger,racial / ethnic slurs,3,severe
nig,nigger,racial / ethnic slurs,3,severe
nig-nog,nigger,racial / ethnic slurs,2.8,severe
niga,nigger,racial / ethnic slurs,2.6,severe
nigah,nigger,racial / ethnic slurs,2.8,severe
nigasses,nigger,racial / ethnic slurs,3,severe
nigers,nigger,racial / ethnic slurs,3,severe
nigg@,nigger,racial / ethnic slurs,2.8,severe
nigg@hs,nigger,racial / ethnic slurs,2.8,severe
nigg@s,nigger,racial / ethnic slurs,2.8,severe
nigg@z,nigger,racial / ethnic slurs,2.6,severe
nigg@zzes,nigger,racial / ethnic slurs,2.8,severe
nigg3r,nigger,racial / ethnic slurs,3,severe
nigg3rs,nigger,racial / ethnic slurs,3,severe
nigg4h,nigger,racial / ethnic slurs,3,severe
nigg4hs,nigger,racial / ethnic slurs,2.8,severe
nigga,nigger,racial / ethnic slurs,2.8,severe
nigga lover,nigger,racial / ethnic slurs,3,severe
niggah,nigger,racial / ethnic slurs,2.8,severe
niggahs,nigger,racial / ethnic slurs,2.2,strong
niggahz,nigger,racial / ethnic slurs,3,severe
niggas,nigger,racial / ethnic slurs,2.8,severe
niggass,nigger,racial / ethnic slurs,2.6,severe
niggaz,nigger,racial / ethnic slurs,2.2,strong
niggazzes,nigger,racial / ethnic slurs,2.8,severe
nigger,nigger,racial / ethnic slurs,3,severe
nigger lover,nigger,racial / ethnic slurs,3,severe
niggers,nigger,racial / ethnic slurs,3,severe
niggerz,nigger,racial / ethnic slurs,3,severe
niggir,nigger,racial / ethnic slurs,3,severe
niggress,nigger,racial / ethnic slurs,3,severe
nigguh,nigger,racial / ethnic slurs,2.8,severe
nigguhs,nigger,racial / ethnic slurs,3,severe
nigguhz,nigger,racial / ethnic slurs,3,severe
niglet,nigger,racial / ethnic slurs,3,severe
nignigs,nigger,racial / ethnic slurs,3,severe
nignog,nigger,racial / ethnic slurs,2.8,severe
nigra,nigger,racial / ethnic slurs,2.8,severe
nigre,nigger,racial / ethnic slurs,3,severe
nigs,nigger,racial / ethnic slurs,2.8,severe
niguh,nigger,racial / ethnic slurs,2.8,severe
nikk3r,nigger,racial / ethnic slurs,3,severe
nikkas,nigger,racial / ethnic slurs,3,severe
nikker,nigger,racial / ethnic slurs,2.8,severe
nip,nipple,sexual anatomy / sexual acts,2,strong
nob jockey,knob,sexual anatomy / sexual acts,2.2,strong
nob jokeys,knob,sexual anatomy / sexual acts,1.8,strong
nobbyhead,knob,sexual anatomy / sexual acts,1.4,mild
nobhead,knob,sexual anatomy / sexual acts,1.6,strong
nobheads,knob,sexual anatomy / sexual acts,1.4,mild
nobj0key,knob,sexual anatomy / sexual acts,1.8,strong
nobjockies,knob,sexual anatomy / sexual acts,1.8,strong
nobjocky,knob,sexual anatomy / sexual acts,2.4,strong
nobjokey,knob,sexual anatomy / sexual acts,2,strong
nobjokeys,knob,sexual orientation / gender,1.8,strong
nobs,knob,sexual anatomy / sexual acts,1.2,mild
nonce,nonce,other / general insult,1.4,mild
nuckas,nigger,racial / ethnic slurs,2.6,severe
nuggets,nigger,racial / ethnic slurs,1.2,mild
nut butter,nut butter,bodily fluids / excrement,1.4,mild
nutsack,nutsack,sexual anatomy / sexual acts,1.8,strong
nutsacks,nutsack,sexual anatomy / sexual acts,1.6,strong
nympho,nymph,sexual anatomy / sexual acts,1,mild
nymphomaniac,nymph,other / general insult,1.4,mild
octopussy,pussy,sexual anatomy / sexual acts,1.2,mild
oven dodger,oven dodger,racial / ethnic slurs,2,strong
p3n1shead,penis,sexual anatomy / sexual acts,1.8,strong
p3nisfcker,penis,sexual anatomy / sexual acts,3,severe
p3nisfcukers,fuck,sexual anatomy / sexual acts,2.8,severe
p3nisfvcker,penis,sexual anatomy / sexual acts,2.8,severe
p3nisfvckers,penis,sexual anatomy / sexual acts,2.8,severe
pack my fudge,fudge packer,sexual anatomy / sexual acts,2,strong
packerfudgehead,fudge packer,sexual anatomy / sexual acts,2.2,strong
packing fudge,fudge packer,sexual anatomy / sexual acts,2.4,strong
packing fudgehead,fudge packer,bodily fluids / excrement,1.8,strong
packingfudge,fudge packer,sexual anatomy / sexual acts,2.4,strong
packingfudgefucker,fudge packer,sexual anatomy / sexual acts,2.8,severe
packingfudgefucking,fudge packer,sexual anatomy / sexual acts,2.4,strong
packsomefudgefucker,fudge packer,sexual anatomy / sexual acts,2.4,strong
paki,paki,racial / ethnic slurs,2.6,severe
palm jockey,palm jockey,sexual anatomy / sexual acts,1.2,mild
pancake face,pancake face,racial / ethnic slurs,1.6,strong
pecker,pecker,sexual anatomy / sexual acts,1.4,mild
peckerhead,pecker,sexual anatomy / sexual acts,1.6,strong
pedo,pedophile,sexual anatomy / sexual acts,2.2,strong
pedobear,pedophile,sexual orientation / gender,2,strong
pedobears,pedophile,other / general insult,2.2,strong
pedophl,pedophile,sexual anatomy / sexual acts,2.2,strong
pedos,pedophile,other / general insult,2.4,strong
pedoz,pedophile,sexual anatomy / sexual acts,2,strong
peen,penis,sexual anatomy / sexual acts,1,mild
peener,penis,sexual anatomy / sexual acts,1,mild
penisfcker,penis,sexual anatomy / sexual acts,3,severe
penisfuccer,penis,sexual anatomy / sexual acts,2.8,severe
penisfucker,fuck,sexual anatomy / sexual acts,3,severe
penisfuckers,fuck,sexual anatomy / sexual acts,3,severe
penisfvcker,penis,sexual anatomy / sexual acts,3,severe
penisfvckers,penis,sexual anatomy / sexual acts,2.8,severe
penishead,penis,sexual anatomy / sexual acts,1.4,mild
peter,peter puffer,sexual anatomy / sexual acts,1,mild
peter puffer,peter puffer,sexual orientation / gender,1.8,strong
ph@ggots,faggot,sexual orientation / gender,2.8,severe
phaggot,faggot,sexual orientation / gender,2.8,severe
phaggots,faggot,sexual orientation / gender,3,severe
phagot,faggot,sexual orientation / gender,3,severe
phags,faggot,sexual orientation / gender,3,severe
phuc,fuck,sexual anatomy / sexual acts,2,strong
phucc,fuck,sexual anatomy / sexual acts,2,strong
phuccer,fuck,sexual anatomy / sexual acts,2.2,strong
phucchead,fuck,sexual anatomy / sexual acts,2,strong
phuccing,fuck,sexual anatomy / sexual acts,1.8,strong
phuck,fuck,sexual anatomy / sexual acts,2.2,strong
phuck3r,fuck,sexual anatomy / sexual acts,1.8,strong
phucked,fuck,sexual anatomy / sexual acts,2,strong
phucker,fuck,sexual anatomy / sexual acts,2.2,strong
phuckin,fuck,sexual anatomy / sexual acts,2,strong
phucking,fuck,sexual anatomy / sexual acts,2.4,strong
phuckings,fuck,sexual anatomy / sexual acts,2.4,strong
phucks,fuck,sexual anatomy / sexual acts,2,strong
phucup,fuck,sexual anatomy / sexual acts,1.8,strong
phuk,fuck,sexual anatomy / sexual acts,2,strong
phuked,fuck,sexual anatomy / sexual acts,2.2,strong
phukeds,fuck,sexual anatomy / sexual acts,2,strong
phukhead,fuck,sexual anatomy / sexual acts,2.4,strong
phuking,fuck,sexual anatomy / sexual acts,2.2,strong
phukings,fuck,sexual anatomy / sexual acts,2.2,strong
phukk,fuck,sexual anatomy / sexual acts,1.8,strong
